name,dob
Winona Ryder,1971-10-29
Kathleen Turner,1954-06-18
Uma Thurman,1970-04-29
Hattie McDaniel,1895-06-10
Rene Russo,1954-02-17
Annette Bening,1958-05-29
Sigourney Weaver,1949-10-08
Barbra Streisand,1942-04-24
Raquel Welch,1940-09-05
Joanne Woodward,1930-02-27
Shirley Booth,1898-08-30
Mercedes McCambridge,1916-03-16
Anjelica Huston,1951-07-08
Dianne Wiest,1948-03-28
Goldie Hawn,1945-11-21
Judy Davis,1955-04-23
Claudia Cardinale,1938-04-15
Gwyneth Paltrow,1972-09-27
Julianne Moore,1960-12-03
Debra Winger,1955-05-16
Christina Ricci,1980-02-12
Juliette Binoche,1964-03-09
Daryl Hannah,1960-12-03
Whoopi Goldberg,1955-11-13
Benicio Del Toro,1967-02-19
Kevin Bacon,1958-07-08
Patrick Swayze,1952-08-18
Michael Caine,1933-03-14
Clint Eastwood,1930-05-31
Burt Lancaster,1913-11-02
Robert Mitchum,1917-08-06
Colin Farrell,1976-05-31
William Holden,1918-04-17
Edward G. Robinson,1893-12-12
William Powell,1892-07-29
Errol Flynn,1909-06-20
Groucho Marx,1890-10-02
James Mason,1909-05-15
Buster Keaton,1895-10-04
Gene Kelly,1912-08-23
Fred Astaire,1899-05-10
Bradley Cooper,1975-01-05
Jude Law,1972-12-29
Robert Pattinson,1986-05-13
Paul Giamatti,1967-06-06
Forest Whitaker,1961-07-15
Jared Leto,1971-12-26
Jonah Hill,1983-12-20
Michael Fassbender,1977-04-02
Carol Burnett,1933-04-26
Jessica Tandy,1909-06-07
Helen Hunt,1963-06-15
Patricia Arquette,1968-04-08
Carmen Miranda,1909-02-09
Kate Hudson,1979-04-19
Catherine Zeta-Jones,1969-09-25
Cameron Diaz,1972-08-30
Debbie Reynolds,1932-04-01
Rita Hayworth,1918-10-17
Maureen O'Hara,1990-01-01
Myrna Loy,1905-08-02
Lena Headey,1973-10-03
Toni Collette,1972-11-01
Laura Linney,1964-02-05
Marlene Dietrich,1901-12-27
Carole Lombard,1908-10-06
Jean Arthur,1900-10-17
Jean Harlow,1911-03-03
Ginger Rogers,1911-07-16
Mary Pickford,1990-01-01
Mae West,1893-08-17
Gillian Anderson,1968-08-09
Emma Watson,1990-04-15
Meg Ryan,1961-11-19
Alan Arkin,1934-03-26
Benedict Cumberbatch,1990-01-01
Chris Hemsworth,1983-08-11
Henry Cavill,1983-05-05
Tom Hardy,1977-09-15
Jean Dujardin,1972-06-19
Colin Firth,1960-09-10
Jamie Foxx,1967-12-13
Adrien Brody,1973-04-14
Roberto Benigni,1952-10-27
Jeremy Irons,1948-09-19
William Hurt,1950-03-20
F. Murray Abraham,1939-10-24
Richard Dreyfuss,1947-10-29
Peter Finch,1912-09-28
Art Carney,1918-11-04
Cliff Robertson,1923-09-09
Rod Steiger,1925-04-14
Chris Pratt,1979-06-21
Lee Marvin,1924-02-19
Rex Harrison,1908-03-05
Maximilian Schell,1930-12-08
David Niven,1910-03-01
Yul Brynner,1915-07-11
Ernest Borgnine,1917-01-24
Chloë Grace Moretz,1997-02-10
Anna Kendrick,1985-08-09
Emily Watson,1967-01-14
Helena Bonham Carter,1966-05-26
Keira Knightley,1985-03-26
Alexis Thorpe,1980-04-19
Marion Davies,1897-01-03
Scarlett Johansson,1984-11-22
Dakota Fanning,1994-02-23
Jennifer Aniston,1969-02-11
Jennifer Connelly,1970-12-12
Rachel McAdams,1978-11-17
Carey Mulligan,1985-05-28
Mila Kunis,1983-08-14
Amanda Seyfried,1985-12-03
Jennifer Lopez,1969-07-24
Neve Campbell,1973-10-03
Fairuza Balk,1974-05-21
Jessica Alba,1981-04-28
Kristen Stewart,1990-04-09
Julie Walters,1950-02-22
Rooney Mara,1985-04-17
Jamie Lee Curtis,1958-11-22
Emma Stone,1988-11-06
Kirsten Dunst,1982-04-30
José Ferrer,1912-01-08
Broderick Crawford,1911-12-09
Ronald Colman,1891-02-09
Fredric March,1897-08-31
Ray Milland,1905-01-03
Bing Crosby,1903-05-02
Paul Lukas,1891-05-26
Robert Donat,1905-03-18
Paul Muni,1895-09-22
Victor McLaglen,1886-12-10
Charles Laughton,1899-07-01
Wallace Beery,1885-04-01
Kurt Russell,1951-03-17
Lionel Barrymore,1878-04-12
Jeff Goldblum,1952-10-22
Warner Baxter,1889-03-29
Emil Jannings,1884-07-23
Chris Cooper,1951-07-09
Jim Broadbent,1949-05-24
James Coburn,1928-08-31
Cuba Gooding Jr.,1968-01-02
Martin Landau,1931-06-20
Jack Palance,1919-02-18
Kevin Kline,1947-10-24
Don Ameche,1908-05-31
Kate Beckinsale,1973-07-26
Zooey Deschanel,1980-01-17
Michelle Williams,1990-01-01
Milla Jovovich,1975-12-17
Selena Gomez,1990-01-01
Rachel Weisz,1971-03-07
Kristen Bell,1980-07-18
Katherine Heigl,1978-11-24
Liv Tyler,1977-07-01
Jessica Chastain,1990-01-01
Megan Fox,1986-05-16
Betty White,1922-01-17
Geraldine Page,1924-11-22
Eliza Dushku,1980-12-30
Robin Wright,1966-04-08
Leighton Meester,1986-04-09
Viola Davis,1965-08-11
Shirley Temple,1928-04-23
Julia Louis-Dreyfus,1961-01-13
Olivia Thirlby,1986-10-06
Cher,1946-05-20
Penélope Cruz,1974-04-28
Louise Fletcher,1934-07-22
Julie Christie,1941-04-14
Patricia Neal,1926-01-20
Haing S. Ngor,1990-01-01
Louis Gossett Jr.,1936-05-27
John Gielgud,1904-04-14
Timothy Hutton,1960-08-16
Melvyn Douglas,1901-04-05
Jason Robards,1922-07-26
George Burns,1896-01-20
John Houseman,1902-09-22
Ethan Hawke,1970-11-06
Ben Johnson,1990-01-01
John Mills,1990-01-01
Gig Young,1913-11-04
Jack Albertson,1907-06-16
George Kennedy,1925-02-18
Walter Matthau,1920-10-01
Martin Balsam,1919-11-04
Peter Ustinov,1921-04-16
Ed Begley,1990-01-01
George Chakiris,1934-09-16
Hugh Griffith,1912-05-30
Burl Ives,1909-06-14
Red Buttons,1919-02-05
Anthony Quinn,1915-04-21
Edmond O'Brien,1990-01-01
Frank Sinatra,1915-12-12
Anne Bancroft,1931-09-17
Kim Novak,1933-02-13
Simone Signoret,1921-03-25
Ellen Page,1987-02-21
Judy Holliday,1921-06-21
Loretta Young,1913-01-06
Shirley Jones,1934-03-31
Vera Farmiga,1973-08-06
Helen Hayes,1990-01-01
Marie Dressler,1868-11-09
Janet Gaynor,1906-10-06
Lupita Nyong'o,1990-01-01
Octavia Spencer,1972-05-25
Melissa Leo,1990-01-01
Mo'Nique,1990-01-01
Marlee Matlin,1965-08-24
Tilda Swinton,1960-11-05
Jennifer Hudson,1981-09-12
Renée Zellweger,1969-04-25
Marcia Gay Harden,1959-08-14
Anna Paquin,1982-07-24
Marisa Tomei,1964-12-04
Mercedes Ruehl,1948-02-28
Brenda Fricker,1945-02-17
Jean Reno,1948-07-30
George Sanders,1906-07-03
Dean Jagger,1903-11-07
Walter Huston,1884-04-06
Edmund Gwenn,1877-09-26
Harold Russell,1914-01-14
Hugh Grant,1960-09-09
Barry Fitzgerald,1888-03-10
Charles Coburn,1877-06-19
Van Heflin,1910-12-13
Donald Crisp,1882-07-27
Thomas Mitchell,1892-07-11
Walter Brennan,1894-07-25
Joseph Schildkraut,1896-03-22
Keanu Reeves,1964-09-02
Channing Tatum,1980-04-26
Hugh Jackman,1968-10-12
Dwayne Johnson,1972-05-02
Adam Sandler,1966-09-09
Daniel Radcliffe,1989-07-23
Daniel Craig,1968-03-02
Ryan Gosling,1980-11-12
Vin Diesel,1967-07-18
Ben Affleck,1972-08-15
Chris Pine,1990-01-01
Olympia Dukakis,1931-06-20
Peggy Ashcroft,1907-12-22
Linda Hunt,1945-04-02
Maureen Stapleton,1925-06-21
Mary Steenburgen,1953-02-08
Beatrice Straight,1914-08-02
Vanessa Redgrave,1937-01-30
Lee Grant,1927-10-31
Eileen Heckart,1919-03-29
Cloris Leachman,1926-04-30
Ruth Gordon,1896-10-30
Estelle Parsons,1927-11-20
Sandy Dennis,1937-04-27
Shelley Winters,1920-08-18
Maggie Gyllenhaal,1977-11-16
Katie Holmes,1978-12-18
Patty Duke,1946-12-14
Rita Moreno,1931-12-11
Wendy Hiller,1912-08-15
Miyoshi Umeki,1929-05-08
Dorothy Malone,1925-01-30
Jo Van Fleet,1990-01-01
Eva Marie Saint,1924-07-04
Gloria Grahame,1923-11-28
Kim Hunter,1922-11-12
Andrew Garfield,1983-08-20
Jeremy Renner,1971-01-07
Steve Carell,1962-08-16
Jake Gyllenhaal,1980-12-19
Chris Evans,1981-06-13
James Franco,1978-04-19
Zach Galifianakis,1969-10-01
Will Ferrell,1967-07-16
Shia LaBeouf,1986-06-11
Seth Rogen,1982-04-15
Joseph Gordon-Levitt,1981-02-17
Ryan Reynolds,1976-10-23
Paul Rudd,1969-04-06
Jason Segel,1980-01-18
Jason Statham,1967-07-26
Justin Timberlake,1981-01-31
Dick Van Dyke,1925-12-13
Zac Efron,1987-10-18
Jesse Eisenberg,1983-10-05
Owen Wilson,1968-11-18
Jason Bateman,1969-01-14
Tyler Perry,1969-09-13
Liam Hemsworth,1990-01-01
William Shatner,1931-03-22
Shah Rukh Khan,1965-11-02
Thora Birch,1982-03-11
Claire Trevor,1990-01-01
Celeste Holm,1917-04-29
Anne Baxter,1923-05-07
Queen Latifah,1970-03-18
Ethel Barrymore,1879-08-15
Rosario Dawson,1979-05-09
Teresa Wright,1918-10-27
Mary Astor,1906-05-03
Jane Darwell,1879-10-15
Alicia Vikander,1988-10-03
Mia Wasikowska,1989-10-14
Abigail Breslin,1996-04-14
Gale Sondergaard,1899-02-15
Melissa McCarthy,1970-08-26
Tina Fey,1970-05-18
Zoe Saldana,1978-06-19
Elisabeth Moss,1982-07-24
Adrianne Palicki,1983-05-06
Jennifer Garner,1972-04-17
Kristen Wiig,1973-08-22
June Squibb,1935-11-06
Sally Hawkins,1976-04-27
Kaley Cuoco,1985-11-30
Naomi Watts,1968-09-28
Josh Hutcherson,1992-10-12
Charlie Hunnam,1980-04-10
Nicholas Hoult,1989-12-07
Aaron Taylor-Johnson,1990-01-01
Bryan Cranston,1956-03-07
Gerard Butler,1969-11-13
Paul Walker,1973-09-12
Karl Urban,1972-06-07
Logan Lerman,1992-01-19
Dave Franco,1985-06-12
Tom Hiddleston,1990-01-01
Peter Dinklage,1969-06-11
Taylor Kitsch,1981-04-08
Alex Pettyfer,1990-04-10
Guy Pearce,1967-10-05
Mark Ruffalo,1967-11-22
Mickey Rourke,1956-09-16
Frank Langella,1938-01-01
Eddie Redmayne,1982-01-06
David Strathairn,1949-01-26
Terrence Howard,1969-03-11
Don Cheadle,1964-11-29
Tom Wilkinson,1948-12-12
Richard Farnsworth,1920-09-01
Nick Nolte,1941-02-08
AnnaSophia Robb,1993-12-08
Gemma Arterton,1986-01-12
Olivia Wilde,1984-03-10
Isla Fisher,1976-02-03
Shailene Woodley,1991-11-15
Rebel Wilson,1990-01-01
Emma Roberts,1990-01-01
Amber Heard,1986-04-22
Teresa Palmer,1990-01-01
Saoirse Ronan,1994-04-12
Elizabeth Banks,1974-02-10
Natalie Dormer,1990-01-01
Brittany Snow,1986-03-09
Kate Mara,1990-01-01
Julianne Hough,1988-07-20
Lily Collins,1989-03-18
Cobie Smulders,1982-04-03
Alice Eve,1982-02-06
Jamie Chung,1983-04-10
Noomi Rapace,1979-12-28
Blake Lively,1987-08-25
Maggie Grace,1983-09-21
Jessica Biel,1982-03-03
Eva Green,1980-07-05
Peter Fonda,1940-02-23
Woody Harrelson,1961-07-23
Billy Bob Thornton,1955-08-04
Idris Elba,1972-09-06
Nigel Hawthorne,1929-04-05
Laurence Fishburne,1961-07-30
Stephen Rea,1946-10-31
Warren Beatty,1937-03-30
Gérard Depardieu,1948-12-27
Richard Harris,1990-01-01
Kenneth Branagh,1960-12-10
Edward James Olmos,1947-02-24
Max von Sydow,1929-04-10
Marcello Mastroianni,1924-09-28
Bob Hoskins,1942-10-26
James Woods,1947-04-18
John Hawkes,1990-01-01
James Garner,1928-04-07
Sam Waterston,1940-11-15
Tom Hulce,1953-12-06
Albert Finney,1936-05-09
Tom Conti,1941-11-22
Tom Courtenay,1937-02-25
Dudley Moore,1935-04-19
John Hurt,1940-01-22
Kat Dennings,1986-06-13
Quvenzhané Wallis,1990-01-01
Emmanuelle Riva,1927-02-24
Greta Gerwig,1990-01-01
Brie Larson,1989-10-01
Jessica Lucas,1985-09-24
Liv Ullmann,1938-12-16
Maria Falconetti,1990-01-01
Setsuko Hara,1920-06-17
Rosalind Russell,1907-06-04
Linda Fiorentino,1960-03-09
Gabourey Sidibe,1990-01-01
Catherine Deneuve,1943-10-22
Mia Farrow,1945-02-09
Audrey Tautou,1978-08-09
Jeanne Moreau,1928-01-23
Isabelle Huppert,1953-03-16
Gena Rowlands,1930-06-19
Lesley Manville,1956-03-12
Elizabeth Olsen,1989-02-16
Nastassja Kinski,1959-01-24
Mélanie Laurent,1990-01-01
Whitney Houston,1963-08-09
Felicity Huffman,1962-12-09
Imelda Staunton,1956-01-09
Oscar Isaac,1990-01-01
Jon Heder,1977-10-26
Miles Teller,1990-01-01
Daniel Brühl,1990-01-01
James Gandolfini,1961-09-18
Michael B. Jordan,1987-02-09
Anthony Perkins,1932-04-04
David Thewlis,1963-03-20
Klaus Kinski,1926-10-18
Malcolm McDowell,1943-06-13
Ray Winstone,1957-02-19
Jean-Paul Belmondo,1933-04-09
Andy Serkis,1964-04-20
Matthew Broderick,1962-03-21
Dennis Hopper,1936-05-17
Michael Rooker,1955-04-06
Vincent Gallo,1962-04-11
Toshirô Mifune,1920-04-01
Vincent Cassel,1966-11-23
J.K. Simmons,1955-01-09
Boris Karloff,1887-11-23
Peter Lorre,1904-06-26
Antonio Banderas,1960-08-10
Paddy Considine,1974-09-05
Ryan Phillippe,1974-09-10
Kerry Washington,1977-01-31
Carrie-Anne Moss,1967-08-21
Janet Leigh,1927-07-06
Catalina Sandino Moreno,1981-04-19
Samantha Morton,1977-05-13
Keisha Castle-Hughes,1990-03-24
Salma Hayek,1966-09-02
Joan Allen,1956-08-20
Janet McTeer,1961-05-08
Fernanda Montenegro,1929-10-16
Kristin Scott Thomas,1960-05-24
Brenda Blethyn,1946-02-20
Elisabeth Shue,1963-10-06
Miranda Richardson,1958-03-03
Stockard Channing,1944-02-13
Angela Bassett,1958-08-16
Mary McDonnell,1952-04-28
Laura Dern,1967-02-10
Pauline Collins,1940-09-03
Isabelle Adjani,1955-06-27
Melanie Griffith,1957-08-09
Sally Kirkland,1941-10-31
Jane Alexander,1939-10-28
Marsha Mason,1942-04-03
Freddie Highmore,1992-02-14
Michael J. Fox,1961-06-09
Eddie Murphy,1961-04-03
Yun-Fat Chow,1955-05-18
Seth MacFarlane,1973-10-26
Bruce Lee,1940-11-27
Jet Li,1963-04-26
Chuck Norris,1940-03-10
Jean-Claude Van Damme,1960-10-18
Sam Rockwell,1968-11-05
Takashi Shimura,1905-03-12
Richard E. Grant,1957-05-05
Leslie Nielsen,1926-02-11
Simon Pegg,1970-02-14
John Malkovich,1953-12-09
Michael Shannon,1974-08-07
Martin Sheen,1940-08-03
Christopher Guest,1948-02-05
Alan Rickman,1946-02-21
Jackie Earle Haley,1961-07-14
Montgomery Clift,1920-10-17
James Spader,1960-02-07
Eric Bana,1968-08-09
Romain Duris,1974-05-28
Robert Shaw,1927-08-09
Jacki Weaver,1947-05-25
Bérénice Bejo,1990-01-01
Hailee Steinfeld,1996-12-11
Jennifer Jason Leigh,1962-02-05
Kathleen Quinlan,1954-11-19
Taraji P. Henson,1970-09-11
Amy Ryan,1969-11-30
Ruby Dee,1924-10-27
Jill Clayburgh,1944-04-30
Adriana Barraza,1956-03-05
Rinko Kikuchi,1981-01-06
Catherine Keener,1959-03-23
Charlotte Rampling,1946-02-05
Sophie Okonedo,1969-01-01
Patricia Clarkson,1959-12-29
Shohreh Aghdashloo,1952-05-11
Lindsay Lohan,1986-07-02
Michelle Trachtenberg,1985-10-11
Chloë Sevigny,1974-11-18
Lynn Redgrave,1943-03-08
Rachel Griffiths,1968-12-18
Margot Robbie,1990-01-01
Lili Taylor,1967-02-20
Robin Weigert,1990-01-01
Lake Bell,1979-03-24
Claude Rains,1889-11-10
Steve Buscemi,1957-12-13
John Rhys-Davies,1944-05-05
Jean-Louis Trintignant,1930-12-11
Joseph Cotten,1905-05-15
Barry Pepper,1970-04-04
Erich von Stroheim,1885-09-22
Patrick Wilson,1990-01-01
Christopher Lloyd,1938-10-22
Ben Foster,1980-10-29
Joel McCrea,1905-11-05
Min-sik Choi,1962-01-22
Ewan McGregor,1971-03-31
Gael García Bernal,1978-11-30
Bruno Ganz,1941-03-22
Sean Astin,1971-02-25
Irrfan Khan,1990-01-01
Michael C. Hall,1971-02-01
Roy Scheider,1932-11-10
Casey Affleck,1975-08-12
Gary Busey,1944-06-29
Norman Reedus,1969-01-06
Jeff Daniels,1955-02-19
Stanley Tucci,1960-11-11
Kiefer Sutherland,1966-12-21
Léa Seydoux,1990-01-01
Dakota Johnson,1989-10-04
Julie Delpy,1969-12-21
Linda Hamilton,1956-09-26
Carrie Fisher,1956-10-21
Pam Grier,1949-05-26
Björk,1990-01-01
Emily Browning,1988-12-07
Juliette Lewis,1973-06-21
Sarah Jessica Parker,1965-03-25
Piper Laurie,1932-01-22
Miley Cyrus,1992-11-23
Lily Tomlin,1939-09-01
Anna Friel,1976-07-12
Gloria Stuart,1910-07-04
Talia Shire,1946-04-25
Sue Lyon,1946-07-10
Olivia Newton-John,1948-09-26
Minnie Driver,1970-01-31
Teri Garr,1947-12-11
Keri Russell,1976-03-23
Jean Seberg,1938-11-13
Sarah Polley,1979-01-08
Kate Capshaw,1953-11-03
Josh Brolin,1968-02-12
Hal Holbrook,1925-02-17
Djimon Hounsou,1964-04-24
Matt Dillon,1964-02-18
Alan Alda,1936-01-28
Thomas Haden Church,1960-06-17
Clive Owen,1964-10-03
Ken Watanabe,1959-10-21
Suraj Sharma,1990-01-01
John C. Reilly,1965-05-24
Michael Clarke Duncan,1957-12-10
Haley Joel Osment,1988-04-10
Greg Kinnear,1963-06-17
Burt Reynolds,1936-02-11
Robert Forster,1990-01-01
Jason Schwartzman,1980-06-26
William H. Macy,1950-03-13
Armin Mueller-Stahl,1930-12-17
Tim Roth,1961-05-14
James Cromwell,1940-01-27
Chazz Palminteri,1952-05-15
Gary Sinise,1955-03-17
Paul Scofield,1922-01-21
Pete Postlethwaite,1946-02-16
Mads Mikkelsen,1965-11-22
Jada Pinkett Smith,1971-09-18
Tatum O'Neal,1990-01-01
Anna Faris,1976-11-29
Ashley Greene,1987-02-21
Famke Janssen,1964-11-05
Rosamund Pike,1979-01-27
Bonnie Hunt,1961-09-22
Leslie Mann,1972-03-26
Mindy Kaling,1990-01-01
Analeigh Tipton,1988-11-09
Thandie Newton,1972-11-06
Amanda Peet,1972-01-11
Julia Stiles,1981-03-28
Maria Bello,1967-04-18
Eva Mendes,1974-03-05
Emily Blunt,1990-01-01
Rose Byrne,1979-07-24
Ashley Judd,1968-04-19
Emilia Clarke,1990-01-01
Christina Applegate,1971-11-25
Nia Long,1970-10-30
Felicity Jones,1984-01-19
Téa Leoni,1966-02-25
Alexandra Daddario,1986-03-16
Jena Malone,1984-11-21
Richard Gere,1949-08-31
Nick Frost,1972-03-28
Ray Liotta,1954-12-18
Chris Rock,1965-02-07
Jon Hamm,1971-03-10
Neil Patrick Harris,1973-06-15
Charlie Sheen,1965-09-03
Mark Rylance,1960-01-18
Andy Garcia,1956-04-12
Michael Lerner,1941-06-22
Graham Greene,1952-06-22
Bruce Davison,1946-06-28
Dan Aykroyd,1952-07-01
Danny Aiello,1933-05-20
River Phoenix,1970-08-23
Dean Stockwell,1936-03-05
Billy Crystal,1948-03-14
John Goodman,1952-06-20
Orlando Bloom,1977-01-13
Stellan Skarsgård,1990-01-01
Alexander Skarsgård,1990-01-01
Mike Myers,1963-05-25
Tyrese Gibson,1978-12-30
Elijah Wood,1981-01-28
Danny DeVito,1944-11-17
Lucy Liu,1968-12-02
Rebecca Romijn,1972-11-06
Michelle Rodriguez,1978-07-12
Sarah Michelle Gellar,1977-04-14
Beyoncé Knowles,1981-09-04
Rebecca Hall,1990-01-01
Piper Perabo,1976-10-31
Courteney Cox,1964-06-15
Parker Posey,1968-11-08
Paula Patton,1975-12-05
Michelle Monaghan,1976-03-23
Claire Danes,1979-04-12
Ali Larter,1976-02-28
Kate Bosworth,1983-01-02
Evan Rachel Wood,1987-09-07
Mira Sorvino,1967-09-28
Ziyi Zhang,1990-01-01
Amanda Crew,1986-06-05
Amanda Bynes,1986-04-03
Lisa Kudrow,1963-07-30
Ellen DeGeneres,1958-01-26
Sofía Vergara,1972-07-10
Mandy Moore,1984-04-10
Virginia Madsen,1961-09-11
James Marsden,1973-09-18
Tim Allen,1953-06-13
Giovanni Ribisi,1974-12-17
Rutger Hauer,1944-01-23
Vince Vaughn,1970-03-28
Brian Cox,1946-06-01
Dennis Quaid,1954-04-09
John Leguizamo,1964-07-22
Michael Keaton,1951-09-05
Billy Burke,1966-11-25
Brendan Gleeson,1955-03-29
Clark Gregg,1962-04-02
Jonathan Pryce,1947-06-01
Tobey Maguire,1975-06-27
Michael Sheen,1969-02-05
Justin Long,1978-06-02
Kellan Lutz,1985-03-15
Jack Black,1969-08-28
Pierce Brosnan,1953-05-16
Sean Bean,1959-04-17
Cedric the Entertainer,1964-04-24
Taylor Lautner,1992-02-11
Josh Duhamel,1972-11-14
Jon Favreau,1966-10-19
Danny Glover,1946-07-22
Freida Pinto,1984-10-18
Hilary Duff,1987-09-28
Mary Elizabeth Winstead,1990-01-01
Jennifer Coolidge,1963-08-28
Andrea Riseborough,1981-10-27
Molly Ringwald,1968-02-18
January Jones,1978-01-05
Maya Rudolph,1972-07-27
Sophie Marceau,1966-11-17
Olga Kurylenko,1979-11-14
Franka Potente,1974-07-22
Rashida Jones,1990-01-01
Alicia Silverstone,1976-10-04
Rosie Huntington-Whiteley,1990-01-01
Lillian Gish,1900-01-01
Evangeline Lilly,1979-08-03
Mireille Enos,1990-01-01
Jennifer Love Hewitt,1979-02-21
Emmy Rossum,1986-09-12
Joey King,1999-07-30
Ginnifer Goodwin,1978-05-22
Christine Taylor,1971-07-30
Vanessa Hudgens,1988-12-14
Abbie Cornish,1982-08-07
Michelle Yeoh,1962-08-06
